Index_df1	Score_df1	ncbi_gene_id_df1	claim_name	Index_df2	Score_df2	ncbi_gene_id_df2	score_ratio
4640	0.00016757436112274822	72	ACTG2	4640	0.00016757436112274822	72	1.0
4634	0.00016757436112274822	30061	SLC40A1	4634	0.00016757436112274822	30061	1.0
4635	0.00016757436112274822	3336	HSPE1	4635	0.00016757436112274822	3336	1.0
4636	0.00016757436112274822	3467	IFNW1	4636	0.00016757436112274822	3467	1.0
4637	0.00016757436112274822	7223	TRPC4	4637	0.00016757436112274822	7223	1.0
4638	0.00016757436112274822	937	CD24P3	4638	0.00016757436112274822	937	1.0
4649	0.00016757436112274822	4504	MT3	4649	0.00016757436112274822	4504	1.0
4647	0.00016757436112274822	9636	ISG15	4647	0.00016757436112274822	9636	1.0
4747	0.00016757436112274822	55351	STK32B	4747	0.00016757436112274822	55351	1.0
4697	0.00016757436112274822	689	BTF3	4697	0.00016757436112274822	689	1.0
4739	0.00016757436112274822	2873	GPS1	4739	0.00016757436112274822	2873	1.0
4740	0.00016757436112274822	10336	PCGF3	4740	0.00016757436112274822	10336	1.0
4741	0.00016757436112274822	7075	TIE1	4741	0.00016757436112274822	7075	1.0
4742	0.00016757436112274822	4807	NHLH1	4742	0.00016757436112274822	4807	1.0
4744	0.00016757436112274822	126393	HSPB6	4744	0.00016757436112274822	126393	1.0
4751	0.00016757436112274822	56946	EMSY	4751	0.00016757436112274822	56946	1.0
4745	0.00016757436112274822	5552	SRGN	4745	0.00016757436112274822	5552	1.0
4646	0.00016757436112274822	6929	TCF3	4646	0.00016757436112274822	6929	1.0
4746	0.00016757436112274822	10568	SLC34A2	4746	0.00016757436112274822	10568	1.0
4698	0.00016757436112274822	1738	DLD	4698	0.00016757436112274822	1738	1.0
4699	0.00016757436112274822	2498	FTH1P3	4699	0.00016757436112274822	2498	1.0
4750	0.00016757436112274822	219771	CCNY	4750	0.00016757436112274822	219771	1.0
4749	0.00016757436112274822	4909	NTF4	4749	0.00016757436112274822	4909	1.0
4748	0.00016757436112274822	4150	MAZ	4748	0.00016757436112274822	4150	1.0
4738	0.00016757436112274822	2909	ARHGAP35	4738	0.00016757436112274822	2909	1.0
4737	0.00016757436112274822	219790	RTKN2	4737	0.00016757436112274822	219790	1.0
4743	0.00016757436112274822	87178	PNPT1	4743	0.00016757436112274822	87178	1.0
4752	0.00016757436112274822	9910	RABGAP1L	4752	0.00016757436112274822	9910	1.0
4659	0.00016757436112274822	64754	SMYD3	4659	0.00016757436112274822	64754	1.0
4753	0.00016757436112274822	51527	GSKIP	4753	0.00016757436112274822	51527	1.0
4754	0.00016757436112274822	5775	PTPN4	4754	0.00016757436112274822	5775	1.0
4771	0.00016757436112274822	5629	PROX1	4771	0.00016757436112274822	5629	1.0
4770	0.00016757436112274822	127623	OR2B11	4770	0.00016757436112274822	127623	1.0
4769	0.00016757436112274822	57556	SEMA6A	4769	0.00016757436112274822	57556	1.0
4768	0.00016757436112274822	22806	IKZF3	4768	0.00016757436112274822	22806	1.0
4765	0.00016757436112274822	89932	PAPLN	4765	0.00016757436112274822	89932	1.0
4764	0.00016757436112274822	197131	UBR1	4764	0.00016757436112274822	197131	1.0
4763	0.00016757436112274822	7220	TRPC1	4763	0.00016757436112274822	7220	1.0
4696	0.00016757436112274822	687	KLF9	4696	0.00016757436112274822	687	1.0
4644	0.00016757436112274822	8505	PARG	4644	0.00016757436112274822	8505	1.0
4645	0.00016757436112274822	1518	CTSLP8	4645	0.00016757436112274822	1518	1.0
4639	0.00016757436112274822	1556	CYP2B7P	4639	0.00016757436112274822	1556	1.0
4680	0.00016757436112274822	116931	MED12L	4680	0.00016757436112274822	116931	1.0
4660	0.00016757436112274822	6890	TAP1	4660	0.00016757436112274822	6890	1.0
4276	0.00016757436112274822	5016	OVGP1	4276	0.00016757436112274822	5016	1.0
4265	0.00016757436112274822	4240	MFGE8	4265	0.00016757436112274822	4240	1.0
4266	0.00016757436112274822	9311	ASIC3	4266	0.00016757436112274822	9311	1.0
4281	0.00016757436112274822	9097	USP14	4281	0.00016757436112274822	9097	1.0
4280	0.00016757436112274822	6448	SGSH	4280	0.00016757436112274822	6448	1.0
4279	0.00016757436112274822	54795	TRPM4	4279	0.00016757436112274822	54795	1.0
4278	0.00016757436112274822	26291	FGF21	4278	0.00016757436112274822	26291	1.0
4277	0.00016757436112274822	2165	F13B	4277	0.00016757436112274822	2165	1.0
4275	0.00016757436112274822	7454	WAS	4275	0.00016757436112274822	7454	1.0
4661	0.00016757436112274822	54620	FBXL19	4661	0.00016757436112274822	54620	1.0
4274	0.00016757436112274822	4159	MC3R	4274	0.00016757436112274822	4159	1.0
4273	0.00016757436112274822	57379	AICDA	4273	0.00016757436112274822	57379	1.0
4272	0.00016757436112274822	2840	GPR17	4272	0.00016757436112274822	2840	1.0
4271	0.00016757436112274822	115560	ZNF501	4271	0.00016757436112274822	115560	1.0
4270	0.00016757436112274822	85397	RGS8	4270	0.00016757436112274822	85397	1.0
4269	0.00016757436112274822	3611	ILK	4269	0.00016757436112274822	3611	1.0
4268	0.00016757436112274822	79581	SLC52A2	4268	0.00016757436112274822	79581	1.0
4264	0.00016757436112274822	133482	SLCO6A1	4264	0.00016757436112274822	133482	1.0
4254	0.00016757436112274822	7507	XPA	4254	0.00016757436112274822	7507	1.0
4248	0.00016757436112274822	55057	CRYBG2	4248	0.00016757436112274822	55057	1.0
4249	0.00016757436112274822	147495	APCDD1	4249	0.00016757436112274822	147495	1.0
4320	0.00016757436112274822	1958	EGR1	4320	0.00016757436112274822	1958	1.0
4284	0.00016757436112274822	3068	HDGF	4284	0.00016757436112274822	3068	1.0
4282	0.00016757436112274822	51377	UCHL5	4282	0.00016757436112274822	51377	1.0
4262	0.00016757436112274822	149111	CNIH3	4262	0.00016757436112274822	149111	1.0
4261	0.00016757436112274822	374900	ZNF568	4261	0.00016757436112274822	374900	1.0
4259	0.00016757436112274822	160492	LMNTD1	4259	0.00016757436112274822	160492	1.0
4258	0.00016757436112274822	63899	NSUN3	4258	0.00016757436112274822	63899	1.0
4257	0.00016757436112274822	85461	TANC1	4257	0.00016757436112274822	85461	1.0
4256	0.00016757436112274822	11197	WIF1	4256	0.00016757436112274822	11197	1.0
4263	0.00016757436112274822	221785	ZSCAN25	4263	0.00016757436112274822	221785	1.0
4255	0.00016757436112274822	8840	CCN4	4255	0.00016757436112274822	8840	1.0
4253	0.00016757436112274822	10848	PPP1R13L	4253	0.00016757436112274822	10848	1.0
4252	0.00016757436112274822	3603	IL16	4252	0.00016757436112274822	3603	1.0
4251	0.00016757436112274822	51214	IGF2-AS	4251	0.00016757436112274822	51214	1.0
4250	0.00016757436112274822	1717	DHCR7	4250	0.00016757436112274822	1717	1.0
4267	0.00016757436112274822	55515	ASIC4	4267	0.00016757436112274822	55515	1.0
4283	0.00016757436112274822	820	CAMP	4283	0.00016757436112274822	820	1.0
4173	0.00016757436112274822	3816	KLK1	4173	0.00016757436112274822	3816	1.0
4679	0.00016757436112274822	6909	TBX2	4679	0.00016757436112274822	6909	1.0
4695	0.00016757436112274822	1657	DMXL1	4695	0.00016757436112274822	1657	1.0
4694	0.00016757436112274822	5079	PAX5	4694	0.00016757436112274822	5079	1.0
4693	0.00016757436112274822	4825	NKX6-1	4693	0.00016757436112274822	4825	1.0
4692	0.00016757436112274822	7352	UCP3	4692	0.00016757436112274822	7352	1.0
4691	0.00016757436112274822	6538	SLC6A11	4691	0.00016757436112274822	6538	1.0
4690	0.00016757436112274822	10020	GNE	4690	0.00016757436112274822	10020	1.0
